,maxAge,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,financialCurrency,Ticker,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,earningsGrowth
0,86400,40.6,hold,189000000.0,0.634,1796999936,4967000064.0,0.323,0.928,9356999680,135.599,31.294,0.07396,0.24528,2935000000.0,774124992.0,1143000064.0,0.041,0.31367,0.19205,0.15812,0.0917,USD,CPB,50.0,38.0,44.63,45.0,3.1,16.0,0.762
0,86400,107.16,hold,3854000128.0,15.637,2624000000,4678000128.0,0.431,0.989,210172002304,,822.591,0.027709998,,,3113625088.0,3360999936.0,0.104,0.03351,0.01249,0.00926,0.00074,USD,CAH,126.0,96.0,108.75,106.5,2.7,12.0,-0.95
0,86400,67.39,buy,521097984.0,3.284,948844032,19696463872.0,0.342,2.321,28544348160,327.965,180.465,0.016449999,0.07943,2800203000.0,1285257984.0,742622976.0,-0.119,0.11387,0.033239998,0.025,0.01589,USD,KMX,105.0,44.0,74.62,80.0,2.4,13.0,-0.052
0,86400,15.76,buy,2868000000.0,1.202,3203000064,32644999168.0,0.329,0.425,20035999744,469.037,15.889,0.01059,-0.21174999,3810000000.0,-599875008.0,3241999872.0,0.592,0.47415,0.15986,0.23708999,-0.08104999,USD,CCL,25.0,7.0,16.8,16.0,2.1,15.0,
0,86400,53.22,buy,3902000128.0,4.651,3168000000,9249999872.0,1.187,1.656,22101000192,108.798,26.428,0.063540004,0.16023001,5473000000.0,2251375104.0,2668000000.0,0.051,0.28094,0.14333999,0.14919,0.054250002,USD,CARR,67.0,48.0,57.39,58.0,2.5,19.0,-0.725
0,86400,40.15,buy,209000000.0,1.155,413000000,4945999872.0,0.671,1.712,4236000000,126.658,23.371,-0.0013600001,-0.2201,1060000000.0,-177000000.0,283000000.0,-0.039,0.23206,0.0975,-0.035639998,-0.22356,USD,CTLT,58.0,40.0,48.57,48.0,2.5,14.0,
0,86400,256.76,hold,8424000000.0,16.547,15738000384,37139001344.0,0.847,1.449,66587000832,181.104,129.528,0.10183,0.50447,15565000000.0,5138375168.0,11621000192.0,0.121,0.30491,0.23635,0.20446,0.13686,USD,CAT,350.0,175.0,262.86,262.5,2.6,22.0,0.408
0,86400,180.26,buy,437100000.0,4.141,1175699968,1660499968.0,0.463,1.232,3809499904,43.832,35.99,0.084759995,0.20025,1741700000.0,656200000.0,1120999936.0,-0.085,0.49248,0.30862,0.29930001,0.18614,USD,CBOE,201.0,138.0,176.93,177.5,2.5,14.0,0.384
0,86400,81.41,buy,1252100992.0,4.21,1738850944,5863982080.0,0.959,1.186,31193513984,69.307,100.358,0.03271,0.07231,6622158000.0,334326112.0,440899008.0,0.045,0.19701,0.05574,0.0353,0.01891,USD,CBRE,95.0,78.0,86.14,85.0,2.2,7.0,-0.558
0,86400,212.56,buy,440700000.0,3.29,2015900032,6490299904.0,1.147,1.351,21795799040,358.58,161.48,0.08258,0.6986,4686600000.0,956362496.0,1304099968.0,-0.094,0.21471001,0.092489995,0.085,0.05026,USD,CDW,240.0,215.0,226.89,230.0,2.0,9.0,0.069
0,86400,141.04,hold,1356999936.0,12.466,1710000000,14120999936.0,0.903,1.628,10718999552,203.209,98.576,0.02813,0.3326,2380000000.0,-281375008.0,1610000000.0,0.183,0.22148001,0.15953,0.13036999,0.18929,USD,CE,151.0,110.0,133.81,135.0,2.6,21.0,3.964
0,86400,204.09,buy,2592050944.0,12.914,3505872896,5894166016.0,0.483,0.876,262173409280,884.629,1294.613,0.026589999,4.6981297,8334565000.0,3811144704.0,3911333888.0,0.127,0.03359,0.01337,0.007850001,0.00666,USD,COR,227.0,192.0,212.83,215.0,2.1,12.0,0.229
0,86400,74.88,buy,20430999552.0,38.246,6547999744,19107000320.0,0.974,1.124,139364007936,75.177,253.498,0.03848,0.095699996,24470000000.0,4354500096.0,6259999744.0,0.037,0.16386,0.04698,0.040560003,0.01754,USD,CNC,110.0,72.0,83.53,83.0,2.2,15.0,-0.316
0,86400,28.79,buy,717000000.0,1.136,2929999872,18286999552.0,0.486,0.776,9224999936,190.788,14.631,0.029140001,0.08777001,3570000000.0,-1369624960.0,3553999872.0,-0.023,0.40802,0.31761998,0.27527002,0.09312,USD,CNP,34.0,27.0,30.4,30.0,2.2,15.0,0.333
